City,Lat,Lng,Avg Temp (F),Avg Humidity (%),Avg Cloud Cover (%),Avg Wind Speed (mph)
Abatskoye,56.29,70.46,2.17,72.95,27.9,12.10
Lasa,29.65,91.14,29.47,18.00,0,4.07
Byron Bay,-28.65,153.62,74.79,99.18,74,12.13
Charyshskoye,51.4,83.56,-7.97,47.03,24,4.67
Muros,42.78,-9.06,51.49,93.05,11.9,7.50
Souillac,-20.52,57.52,80.61,82.70,56.9,7.45
Tumkur,13.34,77.1,68.93,61.38,3.6,6.97
Thurso,58.59,-3.53,44.49,97.13,73.8,29.34
Doctor Pedro P. Pena,-22.45,-62.35,74.64,97.85,88.1,9.51
Marcona,-15.34,-75.08,67.23,91.68,34.1,8.73
East Wenatchee Bench,47.43,-120.28,30.57,81.03,30.5,4.60
Pomabamba,-8.83,-77.47,47.21,75.85,41.7,1.70
Grindavik,63.84,-22.43,37.75,100.00,49.9,14.60
Bontang,0.13,117.5,82.10,97.15,35.6,7.43
Taraz,42.9,71.37,-10.15,60.18,24.7,2.90
Waddan,29.16,16.14,48.17,69.55,14.6,5.52
Port Hardy,50.7,-127.42,38.40,98.15,83.7,7.47
Los Llanos De Aridane,28.66,-17.92,62.58,99.95,51.7,17.76
Mount Isa,-20.73,139.5,87.78,50.18,39.2,7.67
Puerto Del Rosario,28.51,-13.96,60.44,97.00,47.5,18.60
Limoges,45.83,1.26,39.31,93.75,41.3,5.12
Morondava,-20.28,44.28,81.81,90.75,15.8,5.00
Komsomolskiy,43.98,46.7,33.54,90.55,47.3,11.98
Paltinis,48.22,26.65,31.32,87.85,44.9,6.45
Buta,2.79,24.73,82.49,39.10,1.3,4.95
Synya,65.37,58.04,15.52,82.60,71.7,6.43
Moranbah,-22,148.05,83.11,55.38,8.8,9.00
Nantucket,41.28,-70.1,36.69,92.63,57.2,20.18
Homer,38.87,-98.8,35.24,49.43,18.7,8.67
Prince George,53.92,-122.75,9.32,77.98,61.7,2.38
Georgetown,-7.93,-14.42,77.32,100.00,70.7,14.83
Laguna,-28.48,-48.78,74.27,96.45,62.1,13.65
Brownsville,43.47,-72.47,25.82,69.00,45.6,4.07
Lithakia,37.72,20.83,53.91,100.00,16.2,6.63
Ust-Karsk,52.7,118.81,-21.34,41.78,15.2,2.67
Termini Imerese,37.98,13.7,40.61,94.23,14.3,2.10
Luderitz,-26.65,15.16,65.29,77.13,16.4,15.03
Alofi,-19.06,-169.92,78.94,99.25,89,14.93
Sabratah,32.79,12.49,59.37,99.08,20.3,10.63
Yar-Sale,66.83,70.83,9.71,85.35,29.2,14.59
Clyde River,70.47,-68.59,-29.69,79.63,24.1,5.89
Mount Gambier,-37.82,140.78,67.40,71.38,60.9,6.15
Halifax,44.65,-63.57,28.98,95.55,61.3,19.74
Chicama,-7.84,-79.15,70.23,87.15,16.5,3.19
Owando,-0.48,15.9,81.34,68.13,35.1,4.99
Isla Mujeres,21.23,-86.73,73.83,91.20,62.1,10.23
Huancabamba,-5.24,-79.45,60.84,80.40,48.7,1.29
Vilcun,-38.65,-72.23,55.38,69.20,5.2,3.80
Dingle,52.14,-10.27,48.88,94.23,86.1,20.70
Yemelyanovo,56.17,92.68,-2.91,66.18,53.4,7.60
Fredericton,45.95,-66.67,17.08,66.08,39.8,6.75
Tiksi,71.69,128.87,-28.59,37.78,32.7,4.92
Olenegorsk,68.15,33.3,6.29,82.90,58.7,2.67
Gorno-Chuyskiy,57.63,111.73,-8.42,58.98,61.2,5.38
Coihueco,-36.62,-71.83,68.89,47.18,0,12.27
Port Hawkesbury,45.62,-61.35,27.75,95.35,64.3,13.63
Miami,25.77,-80.19,68.69,84.25,63.3,14.69
Iklad,47.67,19.44,38.55,92.43,37.4,7.71
Smithers,54.78,-127.17,15.46,82.15,65.1,2.29
Lisakovsk,52.54,62.49,-4.58,61.60,13.7,8.51
Roseburg,43.22,-123.34,46.70,92.85,77.5,3.37
Svetlyy,51.67,45.63,13.97,85.08,56.4,12.56
Tarudant,30.47,-8.87,40.94,82.48,63.6,4.26
Odweyne,9.41,45.06,61.06,66.78,2.5,8.09
Stykkisholmur,65.08,-22.73,30.05,98.75,51.9,8.64
Koungou,-12.74,45.21,81.62,99.70,56.6,6.67
Demirci,39.05,28.66,30.54,72.10,0.4,2.75
Hukuntsi,-24,21.75,75.12,66.83,57.4,8.58
Bamiantong,44.93,130.53,-4.37,55.25,22.1,6.50
Kailua,21.4,-157.74,70.62,86.88,42.4,4.45
Talawdi,10.64,30.38,70.34,40.03,0.4,12.70
Cockburn Town,21.46,-71.14,77.64,98.78,37.7,23.51
Arraial Do Cabo,-22.97,-42.03,75.39,96.55,58.3,8.55
Narrabri,-30.33,149.6,76.26,61.10,31.6,9.26
Ketchikan,55.34,-131.65,33.49,100.00,67.5,8.64
Acari,-15.43,-74.62,64.73,72.53,21.2,2.46
Tsihombe,-25.32,45.49,79.96,75.30,34.9,7.42
Phan Rang,11.58,108.99,76.63,89.98,18.9,23.08
Sisimiut,66.94,-53.67,-6.99,68.20,50.3,2.48
Linxia,35.6,103.21,5.26,62.90,29.7,2.47
Melville,50.92,-102.8,-0.45,74.70,48.5,10.50
Tumarbong,10.38,119.46,80.52,98.90,43.8,11.72
Norman Wells,65.28,-126.83,-20.98,65.00,48.4,3.61
West Bend,43.43,-88.18,23.38,78.60,37.2,12.64
Gambela,8.25,34.58,74.04,49.75,13.8,3.33
Gavle,60.67,17.14,28.41,94.90,67.6,5.04
Sorland,67.67,12.69,34.42,100.00,39.2,13.45
Tefe,-3.35,-64.71,80.64,85.45,33.7,4.16
Privokzalnyy,58.88,60.73,11.06,59.85,42.4,8.56
Quatre Cocos,-20.21,57.76,80.61,82.70,56.9,7.45
Kerema,-7.96,145.78,77.18,84.70,72.9,2.85
Biak,-1.04,135.98,80.11,100.00,73.1,5.75
Funadhoo,6.15,73.27,81.79,99.90,27.2,6.83
Cavalcante,-13.8,-47.46,70.16,94.18,70.4,3.51
Severodvinsk,64.56,39.83,22.26,98.93,76.6,8.30
Princeton,49.46,-120.51,28.35,80.30,69.7,3.87
Dwarka,22.24,68.97,72.35,93.45,0,9.95
Ranong,9.97,98.63,80.90,98.00,21.8,6.51
Monrovia,6.3,-10.8,80.90,98.85,20.8,6.32
Pingdu,36.78,119.95,16.24,57.88,16,6.89
Belyy Yar,58.44,85.04,3.12,70.68,60.9,7.08
Hobyo,5.35,48.53,76.06,79.20,21.8,17.08
Hovd,44.67,102.17,-14.69,45.35,5,3.34
Belmonte,-15.86,-38.88,80.65,78.23,58,7.38
Saint-Pierre,46.77,-56.17,31.27,96.00,73.6,21.98
Bathsheba,13.22,-59.52,78.40,99.53,76.8,19.74
Isangel,-19.55,169.27,80.80,98.95,73.5,15.02
Boa Esperanca,-21.09,-45.57,72.14,87.15,62.8,5.14
Merauke,-8.47,140.33,84.65,84.78,75.9,11.57
Trelew,-43.25,-65.31,70.21,31.38,9.2,15.03
Mataram,-8.58,116.12,73.49,97.43,67.1,2.41
Keningau,5.34,116.16,72.03,91.73,52.6,1.68
Broken Hill,-31.95,141.43,78.42,48.28,38.1,13.54
Saskylakh,71.92,114.08,-16.15,61.93,57.4,4.27
Anamur,36.08,32.84,51.27,99.33,10,5.08
Tura,64.28,100.25,-4.91,66.88,42.1,4.52
Honningsvag,70.98,25.97,16.22,100.00,19,10.21
Shimoda,34.67,138.95,47.74,100.00,38.3,16.33
Saint-Augustin,51.23,-58.65,6.68,99.03,42.6,14.49
Francistown,-21.17,27.51,75.50,66.63,38.6,10.02
Mayo,63.59,-135.9,-26.85,44.43,21.8,2.72
Morgan City,29.7,-91.21,51.49,85.08,24.3,9.58
Lima,-12.04,-77.03,64.37,75.33,26.7,2.06
Bolungarvik,66.15,-23.26,23.38,99.38,53.4,3.88
Nhamunda,-2.19,-56.71,81.75,77.70,43.5,3.78
Abay,49.63,72.85,-14.15,51.93,12.4,5.93
Almaznyy,62.45,114.33,-6.24,67.95,65.7,4.21
San Cristobal,-0.9,-89.62,76.55,99.43,53.4,8.69
Nanortalik,60.14,-45.24,26.39,96.70,53.5,15.91
Haines Junction,60.75,-137.51,-14.86,68.55,52,2.25
Havelock,34.88,-76.9,47.23,93.28,39.9,9.54
Athabasca,54.72,-113.29,2.27,76.68,66.1,7.69
Kijang,0.9,104.63,81.61,91.05,42.7,12.53
Flinders,-38.47,145.02,69.54,90.35,45.5,12.70
Beringovskiy,63.05,179.32,23.89,93.25,48.9,8.48
Ko Samui,9.54,99.94,81.38,100.00,26.4,8.98
Sumter,33.92,-80.34,44.41,83.20,44,7.14
Trincomalee,8.57,81.23,78.67,75.05,67.7,9.68
Yarada,17.65,83.27,76.66,99.85,0.6,7.55
Penzance,50.11,-5.55,50.52,95.73,83.6,21.90
Buala,-8.14,159.59,81.37,96.55,72.4,12.22
Nizhniy Baskunchak,48.22,46.83,22.62,80.18,51.4,17.03
Steinbach,49.53,-96.68,-0.50,70.38,48.1,13.01
Naze,28.37,129.48,60.49,100.00,72.5,16.02
Tonstad,58.66,6.72,32.63,93.00,83.1,6.78
Paamiut,61.99,-49.67,25.77,99.55,53.8,15.88
Tromso,69.65,18.96,2.47,100.00,30.1,2.22
Jian,27.12,114.98,33.75,88.40,80.5,7.14
Aban,56.67,96.06,-2.25,71.00,52,10.31
Wanaka,-44.7,169.15,65.82,69.20,38.1,3.62
Santa Rosa,-28.26,-58.12,75.77,89.88,38.9,9.73
Mindelo,16.89,-24.98,68.82,98.65,5.9,17.75
Protivin,49.2,14.22,38.37,91.30,63,12.12
Sivas,39.75,37.02,16.93,76.63,28.9,3.02
Skjervoy,70.03,20.97,22.62,100.00,19.3,9.28
Sorong,-0.88,131.25,81.72,100.00,66.9,10.14
Saleaula,-13.45,-172.34,82.46,99.90,58.7,10.04
Rincon,32.29,-81.24,50.80,80.68,40.9,6.41
Canitas,16.79,-92.91,61.73,83.75,51.5,2.80
Srandakan,-7.94,110.25,75.37,94.78,72.5,6.23
Hami,42.8,93.45,4.03,52.50,9.7,3.04
Son Tay,21.14,105.5,51.97,92.35,82,6.42
Coquimbo,-29.95,-71.34,63.48,92.53,14.8,4.09
Bud,41.53,-87.5,30.54,78.35,44.1,11.28
Arcata,40.87,-124.08,48.83,95.70,60.6,5.93
Udachnyy,66.42,112.4,-13.84,71.05,56.3,2.70
Ardakan,32.31,54.02,28.43,83.18,25.3,3.63
Gohad,26.43,78.44,61.55,73.98,0,5.12
Wad Rawah,15.16,33.14,70.03,28.93,4,12.78
Inhambane,-23.86,35.38,80.18,89.30,40.9,9.20
Kadykchan,63.08,147.05,-4.60,66.78,62.7,3.39
Comodoro Rivadavia,-45.87,-67.5,65.41,73.50,11.5,20.70
Awjilah,29.11,21.29,50.08,68.65,10.3,4.84
Ayagoz,47.97,80.44,-15.14,49.70,4.1,6.63
Clarence Town,23.1,-74.98,75.76,98.85,57.1,22.53
Inuvik,68.35,-133.72,-9.30,69.03,49.6,9.69
Ambilobe,-13.2,49.05,75.28,99.08,59.2,3.25
Gamba,-2.65,10,78.00,93.70,59.5,4.87
Casper,42.87,-106.31,26.25,71.85,33.5,9.92
Salinopolis,-0.61,-47.36,79.94,99.30,77.6,9.86
Itarema,-2.92,-39.92,79.54,87.13,53.4,9.09
Goundam,16.41,-3.67,74.32,46.88,42.3,9.09
Bobo Dioulasso,11.16,-4.31,77.48,36.95,6.3,7.40
Tanggu,39.02,117.65,21.36,76.05,10,11.03
Natal,-5.79,-35.21,81.01,76.95,65.9,9.38
Qandala,11.47,49.87,62.59,86.78,17.5,3.81
Boende,-0.22,20.87,83.76,59.78,41.2,2.93
Fernley,39.61,-119.25,35.46,62.18,24.8,2.59
Buraydah,26.33,43.98,44.22,47.55,0,5.83
Dongkan,34,119.83,26.53,74.48,29.5,7.43
Kapit,2.02,112.93,76.64,90.85,61.9,2.23
Carutapera,-1.2,-46.02,79.26,91.00,77.1,6.27
Bow Island,49.87,-111.37,16.26,73.70,54.5,9.70
Povoa De Varzim,41.38,-8.76,54.08,95.43,4,8.75
Astrea,9.5,-73.98,86.61,50.20,14.3,3.34
Helong,42.54,129,1.32,56.28,19,7.02
Malatya,38.35,38.32,26.98,98.20,8.4,2.71
Anadyr,64.75,177.48,16.71,86.03,40.2,7.12
Sarahan,31.52,77.8,4.10,68.93,39.8,1.82
Wapi Pathum,15.85,103.38,76.98,62.43,20.2,9.20
Iqaluit,63.75,-68.51,-17.92,76.98,28.7,5.71
Rajkot,22.3,70.78,68.79,49.23,0,5.26
Naron,43.52,-8.15,52.89,99.45,35.7,11.72
Pangnirtung,66.15,-65.71,-24.19,43.58,15.5,4.81
Atambua,-9.11,124.89,76.81,100.00,76.7,13.35
Santa Cruz,-34.63,-71.37,68.70,48.55,0.3,4.60
Honiara,-9.43,159.95,76.42,98.90,88.3,6.04
Sooke,48.37,-123.73,41.56,97.70,66.5,7.42
Loa Janan,-0.58,117.09,80.56,84.68,40.3,2.67
San Carlos Del Zulia,9,-71.91,81.91,74.25,31.7,2.80
Gallup,35.53,-108.74,27.51,48.90,6.4,5.23
Loralai,30.37,68.6,40.84,60.68,21.6,5.61
Muroto,33.28,134.15,46.86,100.00,45.5,13.98
Terrasini,38.15,13.08,56.77,99.88,22.8,6.41
Sao Felix Do Xingu,-6.64,-51.99,76.48,91.23,38.1,2.43
Lar,27.67,54.34,46.07,42.95,6.8,2.90
Evanston,41.27,-110.96,23.76,76.23,28.6,9.44
Maracaju,-21.61,-55.17,76.49,92.18,68.6,5.36
Sortland,68.69,15.42,22.14,100.00,39.1,7.72
Tkibuli,42.34,42.99,26.15,87.38,60.9,1.77
Karratha,-20.74,116.85,90.08,40.10,40.2,11.56
College,64.86,-147.8,-25.50,36.78,5.6,4.39
Mandalgovi,45.76,106.27,-8.61,60.65,9.5,10.53
Stoyba,52.79,131.71,-19.99,48.90,30.8,2.77
Waslala,13.23,-85.38,71.60,92.60,82.6,5.69
Sysert,56.5,60.82,8.95,53.10,22.3,10.02
Henties Bay,-22.11,14.28,65.43,94.25,42.9,6.37
West Wendover,40.74,-114.07,27.70,75.35,25.8,2.63
Kieta,-6.22,155.63,82.10,93.70,66,10.45
Quelimane,-17.88,36.89,82.63,77.45,28.5,6.86
Ukiah,39.15,-123.21,46.85,89.48,42.5,2.53
Garowe,8.41,48.48,70.93,56.83,3.7,8.94
Sawang Daen Din,17.48,103.46,71.79,68.20,25.2,8.25
Chon Daen,16.19,100.86,77.48,70.25,26.6,4.69
Kudahuvadhoo,2.67,72.89,82.20,99.98,35,9.43
Birsk,55.42,55.54,3.97,70.80,18.8,13.04
Gao,16.27,-0.04,71.44,50.98,27.8,10.69
Yeppoon,-23.13,150.73,81.03,72.95,25.6,11.01
Oceanside,40.64,-73.64,36.61,88.70,55.3,7.66
Westport,-41.75,171.6,69.45,80.58,20.5,4.23
Bairiki,1.33,172.98,81.66,99.68,52.9,16.77
Tilichiki,60.47,166.1,30.81,90.80,74.1,13.48
Martinsicuro,42.88,13.91,38.69,95.08,5.2,2.99
Qena,26.16,32.72,48.36,78.38,1.8,4.07
Businga,3.33,20.88,80.88,42.55,3.2,5.30
Viedma,-40.81,-63,73.36,37.80,3.3,13.25
Doha,29.32,47.82,54.17,86.48,1.9,12.13
Praia,14.92,-23.51,70.12,95.93,16.6,17.85
Chifeng,42.27,118.96,6.37,45.58,14.2,7.45
Nassau,25.06,-77.34,73.24,97.30,36.8,21.42
Stepnoye,51.4,46.87,13.89,82.18,55.7,13.42
Barentu,15.11,37.59,70.09,49.58,2.5,4.73
Pangai,-19.8,-174.35,78.42,100.00,90.7,13.43
Mao,14.12,15.31,68.98,19.93,1.3,14.65
Buin,-6.75,155.69,80.08,80.53,70.2,6.68
Zhigalovo,54.81,105.16,-1.45,60.28,54.2,4.73
Lethem,3.37,-59.8,86.25,49.60,3.6,15.20
Karaul,70.07,83.23,10.62,82.83,69.2,14.19
Arlit,18.74,7.39,62.96,60.15,23.5,4.81
Andevoranto,-18.95,49.11,79.58,99.85,45.9,6.86
Charters Towers,-20.21,145.82,82.89,60.45,12.3,7.31
Bacuit,11.21,119.46,81.89,98.55,41.9,15.30
Yarim,14.3,44.38,53.36,48.18,4.2,2.44
Mogadishu,2.04,45.34,77.71,99.70,6.2,20.40
Bonavista,48.65,-53.11,27.43,96.48,69.4,18.67
Jinchang,38.5,102.17,0.92,65.28,29.2,3.13
Kuppam,12.75,78.37,69.20,66.93,4.3,5.22
Kodinar,20.79,70.7,69.95,53.73,0,4.74
Saldanha,-33.01,17.94,68.42,72.70,9.4,15.19
Tricase,39.93,18.36,53.47,100.00,23.4,11.05
Narva-Joesuu,59.46,28.04,23.18,86.73,63.6,5.17
Halalo,-13.34,-176.22,82.98,99.95,60.4,9.68
Petropavlovsk-Kamchatskiy,53.05,158.65,27.24,92.55,78.8,6.19
San Carlos De Bariloche,-41.15,-71.3,49.54,56.63,1.4,2.75
Sarmanovo,55.26,52.59,6.48,75.10,50,15.28
Huarmey,-10.07,-78.15,68.44,73.68,10.9,3.16
Ajtos,42.7,27.25,31.37,69.35,2.1,4.97
Prata,-19.31,-48.92,73.50,93.93,60.8,6.56
Vardo,70.37,31.11,24.19,100.00,27.2,13.89
Anniston,33.66,-85.83,44.53,70.35,34.6,5.51
Sulangan,11.14,123.72,80.37,99.60,59.9,15.80
Batagay,67.63,134.63,-41.42,16.08,30.3,3.03
Mnogovershinnyy,53.94,139.92,-2.02,60.50,44.1,7.26
Pitimbu,-7.47,-34.81,80.90,90.35,63.5,9.74
Pisco,-13.7,-76.22,70.67,80.95,33.9,3.35
Dera Bugti,29.03,69.15,57.45,87.10,39.7,4.14
Jijiga,9.35,42.8,57.04,61.85,3.4,3.92
La Quinta,33.66,-116.31,46.53,50.48,8.2,1.77
Tungkang,22.47,120.45,68.30,99.68,47,7.97
Las Palmas,28.12,-15.44,61.47,99.65,54.5,20.72
Koslan,63.46,48.9,19.18,79.90,78.7,5.52
Kautokeino,69.01,23.04,3.91,78.25,51.9,4.35
Kostino,58.91,53.27,10.87,79.53,76,16.88
Manta,-0.95,-80.73,76.51,99.43,66.9,7.21
Aksarayskiy,46.79,48.01,21.00,81.13,34.1,15.75
Port Moresby,-9.44,147.18,81.51,95.60,85.1,17.91
Iranshahr,27.2,60.68,50.07,52.93,15.4,5.10
Naral,43.55,-96.72,18.69,75.18,26.2,10.65
Port Keats,-14.25,129.55,77.33,99.83,90.4,21.65
Kodinsk,58.69,99.18,-2.64,64.28,56.2,6.35
Martin,49.07,18.92,34.67,97.88,82.1,4.27
Pedernales,18.04,-71.74,76.37,97.85,27,11.95
Fare,-16.7,-151.02,81.72,99.90,71.2,11.83
